category,target,actual,complete,blocking,notes
teams,48,48,True,False,48 official teams required
groups,12,12,True,False,12 groups required
group_rows,48,48,True,False,4 teams per group
fixtures,104,104,True,False,104 official fixtures
group_stage_fixtures,72,72,True,False,72 group-stage matches (First Stage → group_stage)
knockout_fixtures,32,32,True,False,32 knockout/bracket matches
players,1248,1248,True,False,"1,248 official players"
teams_with_26_players,48,48,True,False,26 players per team
sample_to_be_verified,0,0,True,False,No unverified source rows
blocking_placeholders,0,0,True,False,Required fields without TBD/empty/sample sources
optional_metadata_warnings,0,2062,True,False,"Non-blocking gaps (capacity, lat/long, height, etc.)"
missing_required_values,0,0,True,False,Required fields filled
